Hostnames,Throughput (samples/sec),Status
ml-512-node-001,72.9396,Success
ml-512-node-002,72.7058,Success
ml-512-node-003,72.8398,Success
ml-512-node-004,72.7239,Success
ml-512-node-005,72.9297,Success
ml-512-node-006,72.6087,Success
ml-512-node-007,72.7325,Success
ml-512-node-008,73.08,Success
ml-512-node-009,72.7692,Success
ml-512-node-010,72.7755,Success
ml-512-node-011,72.7509,Success
ml-512-node-012,72.8692,Success
ml-512-node-013,72.5403,Success
ml-512-node-014,72.6704,Success
ml-512-node-015,72.51,Success
ml-512-node-016,72.7475,Success
ml-512-node-017,72.0384,Success
ml-512-node-018,72.5277,Success
ml-512-node-019,72.4256,Success
ml-512-node-020,72.0073,Success
ml-512-node-021,72.5738,Success
ml-512-node-022,73.1018,Success
ml-512-node-023,72.7471,Success
ml-512-node-024,72.8789,Success
ml-512-node-025,72.9902,Success
ml-512-node-026,72.4961,Success
ml-512-node-027,72.7377,Success
ml-512-node-028,72.6978,Success
ml-512-node-029,72.7597,Success
ml-512-node-030,72.8598,Success
ml-512-node-031,73.1485,Success
ml-512-node-032,72.7604,Success
ml-512-node-033,72.7228,Success
ml-512-node-034,72.2105,Success
ml-512-node-035,72.851,Success
ml-512-node-036,72.5209,Success
ml-512-node-037,72.5918,Success
ml-512-node-038,72.0691,Success
ml-512-node-039,72.8504,Success
ml-512-node-040,72.5358,Success
ml-512-node-041,72.899,Success
ml-512-node-042,72.1328,Success
ml-512-node-043,72.6044,Success
ml-512-node-044,72.6341,Success
ml-512-node-045,72.71,Success
ml-512-node-046,72.5505,Success
ml-512-node-047,72.5004,Success
ml-512-node-048,72.1381,Success
ml-512-node-049,73.0608,Success
ml-512-node-050,72.3801,Success
ml-512-node-051,72.3069,Success
ml-512-node-052,72.5334,Success
ml-512-node-053,72.5215,Success
ml-512-node-054,72.6483,Success
ml-512-node-055,72.7719,Success
ml-512-node-056,72.5249,Success
ml-512-node-057,72.9118,Success
ml-512-node-058,72.5083,Success
ml-512-node-059,72.0614,Success
ml-512-node-060,72.7613,Success
ml-512-node-061,72.1109,Success
ml-512-node-062,72.9226,Success
ml-512-node-063,72.7838,Success
ml-512-node-064,72.1497,Success
